year,stage,team1,score1,score2,team2,venue,city,country,date,notes,total_goals,goal_diff,is_knockout,is_group_stage,is_upset,has_extra_time,has_penalties,is_record
1954,Group Stage,Hungary,9,0,South Korea,Hardturm,Zürich,Switzerland,1954-06-17,,9,9,False,True,False,False,False,False
1954,Group Stage,Germany,3,8,Hungary,Wankdorf,Bern,Switzerland,1954-06-20,,11,5,False,True,False,False,False,False
1954,Quarter-final,Austria,7,5,Switzerland,Hardturm,Lausanne,Switzerland,1954-06-26,Highest scoring WC match ever,12,2,True,False,False,False,False,True
1954,Semi-final,Germany,6,1,Austria,Wankdorf,Basel,Switzerland,1954-06-30,,7,5,True,False,False,False,False,False
1954,Semi-final,Hungary,4,2,Uruguay,Stade Olympique,Lausanne,Switzerland,1954-06-30,,6,2,True,False,False,False,False,False
1954,3rd Place,Austria,3,1,Uruguay,Hardturm,Zürich,Switzerland,1954-07-03,,4,2,True,False,False,False,False,False
1954,Final,Germany,3,2,Hungary,Wankdorf,Bern,Switzerland,1954-07-04,Miracle of Bern,5,1,True,False,False,False,False,False
1958,Group Stage,Brazil,3,0,Austria,Ryavallen,Borås,Sweden,1958-06-08,,3,3,False,True,False,False,False,False
1958,Group Stage,France,7,3,Paraguay,Idrottsparken,Norrköping,Sweden,1958-06-08,Fontaine hat-trick,10,4,False,True,False,False,False,False
1958,Quarter-final,France,4,0,Northern Ireland,Ullevi,Gothenburg,Sweden,1958-06-19,,4,4,True,False,False,False,False,False
1958,Semi-final,Brazil,5,2,France,Ullevi,Gothenburg,Sweden,1958-06-24,,7,3,True,False,False,False,False,False
1958,Semi-final,Sweden,3,1,Germany,Ullevi,Gothenburg,Sweden,1958-06-24,,4,2,True,False,False,False,False,False
1958,3rd Place,France,6,3,Germany,Ullevi,Gothenburg,Sweden,1958-06-28,Fontaine scores 4,9,3,True,False,False,False,False,False
1958,Final,Brazil,5,2,Sweden,Råsunda,Stockholm,Sweden,1958-06-29,Pelé scores 2 at 17,7,3,True,False,False,False,False,False
1962,Group Stage,Russia,2,0,Serbia,Estadio El Teniente,Rancagua,Chile,1962-05-31,,2,2,False,True,False,False,False,False
1962,Group Stage,Italy,0,0,Chile,Estadio Nacional,Santiago,Chile,1962-06-02,Battle of Santiago,0,0,False,True,False,False,False,False
1962,Quarter-final,Brazil,3,1,England,Estadio Sausalito,Viña del Mar,Chile,1962-06-10,,4,2,True,False,False,False,False,False
1962,Semi-final,Brazil,4,2,Chile,Estadio Nacional,Santiago,Chile,1962-06-13,,6,2,True,False,False,False,False,False
1962,Semi-final,Czechia,3,1,Serbia,Estadio El Teniente,Vina del Mar,Chile,1962-06-13,,4,2,True,False,False,False,False,False
1962,3rd Place,Chile,1,0,Serbia,Estadio Nacional,Santiago,Chile,1962-06-16,,1,1,True,False,False,False,False,False
1962,Final,Brazil,3,1,Czechia,Estadio Nacional,Santiago,Chile,1962-06-17,,4,2,True,False,False,False,False,False
1966,Group Stage,England,0,0,Uruguay,Wembley,London,England,1966-07-11,,0,0,False,True,False,False,False,False
1966,Group Stage,North Korea,1,0,Italy,Ayresome Park,Middlesbrough,England,1966-07-19,Biggest WC upset,1,1,False,True,True,False,False,True
1966,Quarter-final,North Korea,3,5,Portugal,Goodison Park,Liverpool,England,1966-07-23,Eusébio scores 4,8,2,True,False,False,False,False,False
1966,Quarter-final,England,1,0,Argentina,Wembley,London,England,1966-07-23,,1,1,True,False,False,False,False,False
1966,Semi-final,England,2,1,Portugal,Wembley,London,England,1966-07-26,,3,1,True,False,False,False,False,False
1966,Semi-final,Germany,2,1,Russia,Goodison Park,Liverpool,England,1966-07-25,,3,1,True,False,False,False,False,False
1966,3rd Place,Portugal,2,1,Russia,Wembley,London,England,1966-07-28,,3,1,True,False,False,False,False,False
1966,Final,England,4,2,Germany,Wembley,London,England,1966-07-30,Geoff Hurst hat-trick,6,2,True,False,False,False,False,False
1970,Group Stage,Brazil,4,1,Czechia,Estadio Jalisco,Guadalajara,Mexico,1970-06-03,,5,3,False,True,False,False,False,False
1970,Group Stage,Germany,3,10,Bulgaria,Estadio Nou Camp,León,Mexico,1970-06-02,,13,7,False,True,False,False,False,False
1970,Quarter-final,Brazil,4,2,Peru,Estadio Jalisco,Guadalajara,Mexico,1970-06-14,,6,2,True,False,False,False,False,False
1970,Quarter-final,Germany,3,2,England,Estadio Nou Camp,León,Mexico,1970-06-14,AET - England 2-0 up,5,1,True,False,False,True,False,False
1970,Semi-final,Italy,4,3,Germany,Estadio Azteca,Mexico City,Mexico,1970-06-17,Game of the Century AET,7,1,True,False,False,True,False,False
1970,Semi-final,Brazil,3,1,Uruguay,Estadio Jalisco,Guadalajara,Mexico,1970-06-17,,4,2,True,False,False,False,False,False
1970,3rd Place,Germany,1,0,Uruguay,Estadio Azteca,Mexico City,Mexico,1970-06-20,,1,1,True,False,False,False,False,False
1970,Final,Brazil,4,1,Italy,Estadio Azteca,Mexico City,Mexico,1970-06-21,Brazil keep the Jules Rimet,5,3,True,False,False,False,False,False
1974,Group Stage,Germany,1,0,Germany,Volksparkstadion,Hamburg,West Germany,1974-06-22,Only time they met,1,1,False,True,False,False,False,False
1974,Group Stage,Brazil,0,0,Serbia,Olympiastadion,Berlin,West Germany,1974-06-18,,0,0,False,True,False,False,False,False
1974,Semi-final Round,Netherlands,2,0,Brazil,Westfalenstadion,Dortmund,West Germany,1974-07-03,,2,2,False,False,False,False,False,False
1974,Semi-final Round,Germany,1,0,Poland,Olympiastadion,Frankfurt,West Germany,1974-07-03,,1,1,False,False,False,False,False,False
1974,3rd Place,Poland,1,0,Brazil,Olympiastadion,Munich,West Germany,1974-07-06,,1,1,True,False,False,False,False,False
1974,Final,Germany,2,1,Netherlands,Olympiastadion,Munich,West Germany,1974-07-07,,3,1,True,False,False,False,False,False
1978,Group Stage,Argentina,2,1,Hungary,El Monumental,Buenos Aires,Argentina,1978-06-02,,3,1,False,True,False,False,False,False
1978,Group Stage,Italy,1,0,Argentina,El Monumental,Buenos Aires,Argentina,1978-06-10,,1,1,False,True,False,False,False,False
1978,Group Stage,Argentina,6,0,Peru,El Monumental,Buenos Aires,Argentina,1978-06-21,Controversial result,6,6,False,True,False,False,False,False
1978,3rd Place,Brazil,2,1,Italy,El Monumental,Buenos Aires,Argentina,1978-06-24,,3,1,True,False,False,False,False,False
1978,Final,Argentina,3,1,Netherlands,El Monumental,Buenos Aires,Argentina,1978-06-25,AET - Kempes 2,4,2,True,False,False,True,False,False
1982,Group Stage,Algeria,2,1,Germany,El Molinon,Gijón,Spain,1982-06-16,Biggest WC upset 1982,3,1,False,True,True,False,False,True
1982,Group Stage,Germany,1,0,Austria,El Molinon,Gijón,Spain,1982-06-25,Disgrace of Gijón,1,1,False,True,False,False,False,False
1982,Group Stage,Brazil,3,1,Argentina,Sarriá,Barcelona,Spain,1982-06-02,,4,2,False,True,False,False,False,False
1982,Quarter-final,Germany,0,0,France,Ramón Sánchez Pizjuán,Seville,Spain,1982-07-08,First WC shootout - Germany win 5-4 pens,0,0,True,False,False,False,True,True
1982,Semi-final,Italy,2,0,Poland,Camp Nou,Barcelona,Spain,1982-07-08,,2,2,True,False,False,False,False,False
1982,3rd Place,Poland,3,2,France,Estadio Metropolitano,Madrid,Spain,1982-07-10,,5,1,True,False,False,False,False,False
1982,Final,Italy,3,1,Germany,Bernabéu,Madrid,Spain,1982-07-11,Rossi wins Golden Boot,4,2,True,False,False,False,False,False
1986,Group Stage,Denmark,6,1,Uruguay,Estadio Neza,Nezahualcóyotl,Mexico,1986-06-08,,7,5,False,True,False,False,False,False
1986,Round of 16,Belgium,4,3,Russia,Estadio Jalisco,Guadalajara,Mexico,1986-06-15,AET,7,1,True,False,False,True,False,False
1986,Quarter-final,Argentina,2,1,England,Estadio Azteca,Mexico City,Mexico,1986-06-22,Hand of God + Goal of Century,3,1,True,False,False,False,False,False
1986,Quarter-final,France,0,0,Brazil,Estadio Jalisco,Guadalajara,Mexico,1986-06-21,France win 4-3 pens,0,0,True,False,False,False,True,False
1986,Semi-final,Argentina,2,0,Belgium,Estadio Azteca,Mexico City,Mexico,1986-06-25,Maradona 2 goals,2,2,True,False,False,False,False,False
1986,Semi-final,Germany,2,0,France,Estadio Jalisco,Guadalajara,Mexico,1986-06-25,,2,2,True,False,False,False,False,False
1986,3rd Place,France,4,2,Belgium,Estadio Cuauhtémoc,Puebla,Mexico,1986-06-28,,6,2,True,False,False,False,False,False
1986,Final,Argentina,3,2,Germany,Estadio Azteca,Mexico City,Mexico,1986-06-29,Maradona's WC,5,1,True,False,False,False,False,False
1990,Group Stage,Argentina,0,1,Cameroon,San Siro,Milan,Italy,1990-06-08,Greatest WC upset 1990,1,1,False,True,True,False,False,False
1990,Group Stage,Colombia,1,1,Germany,Stadio Giuseppe Meazza,Milan,Italy,1990-06-19,Rene Higuita error,2,0,False,True,False,False,False,False
1990,Round of 16,Ireland,0,0,Romania,Stadio Luigi Ferraris,Genoa,Italy,1990-06-25,Ireland win 5-4 pens,0,0,True,False,False,False,True,False
1990,Quarter-final,Germany,1,0,Czechia,Stadio delle Alpi,Turin,Italy,1990-07-01,,1,1,True,False,False,False,False,False
1990,Quarter-final,Argentina,0,0,Serbia,Stadio Marc Antonio Bentegodi,Florence,Italy,1990-07-01,Argentina win 3-2 pens,0,0,True,False,False,False,True,False
1990,Semi-final,Germany,1,1,England,Stadio delle Alpi,Turin,Italy,1990-07-04,Germany win 4-3 pens - Gazza cries,2,0,True,False,False,False,True,False
1990,Semi-final,Argentina,1,1,Italy,San Paolo,Naples,Italy,1990-07-03,Argentina win 4-3 pens,2,0,True,False,False,False,True,False
1990,3rd Place,Italy,2,1,England,Stadio San Nicola,Bari,Italy,1990-07-07,Schillaci Golden Boot,3,1,True,False,False,False,False,False
1990,Final,Germany,1,0,Argentina,Stadio Olimpico,Rome,Italy,1990-07-08,Penalty - Brehme,1,1,True,False,False,False,False,False
1994,Group Stage,Bolivia,0,1,Germany,Pontiac Silverdome,Detroit,USA,1994-06-17,First indoor WC match,1,1,False,True,False,False,False,True
1994,Group Stage,Russia,6,1,Cameroon,Stanford Stadium,Palo Alto,USA,1994-06-28,Salenko 5 goals,7,5,False,True,False,False,False,False
1994,Group Stage,Brazil,3,0,Russia,Stanford Stadium,Stanford,USA,1994-06-28,,3,3,False,True,False,False,False,False
1994,Quarter-final,Brazil,1,0,Netherlands,Cotton Bowl,Dallas,USA,1994-07-09,Bebeto cradle celebration,1,1,True,False,False,False,False,False
1994,Semi-final,Brazil,1,0,Sweden,Rose Bowl,Pasadena,USA,1994-07-13,,1,1,True,False,False,False,False,False
1994,Semi-final,Italy,2,1,Bulgaria,Giants Stadium,New Jersey,USA,1994-07-13,,3,1,True,False,False,False,False,False
1994,3rd Place,Sweden,4,0,Bulgaria,Rose Bowl,Pasadena,USA,1994-07-16,,4,4,True,False,False,False,False,False
1994,Final,Brazil,0,0,Italy,Rose Bowl,Pasadena,USA,1994-07-17,Brazil win 3-2 pens - Baggio misses,0,0,True,False,False,False,True,False
1998,Group Stage,Brazil,2,1,Scotland,Stade de France,Saint-Denis,France,1998-06-10,,3,1,False,True,False,False,False,False
1998,Group Stage,Nigeria,3,2,Spain,Stade de la Mosson,Montpellier,France,1998-06-13,,5,1,False,True,False,False,False,False
1998,Round of 16,Argentina,2,2,England,Stade Geoffroy-Guichard,Saint-Étienne,France,1998-06-30,Beckham sent off - Argentina win 4-3 pens,4,0,True,False,False,False,True,False
1998,Round of 16,France,1,0,Paraguay,Félix Bollaert,Lens,France,1998-06-28,AET - Blanc golden goal,1,1,True,False,False,True,False,False
1998,Quarter-final,Netherlands,2,1,Argentina,Stade Vélodrome,Marseille,France,1998-07-04,Bergkamp goal of tournament,3,1,True,False,False,False,False,False
1998,Quarter-final,France,0,0,Italy,Stade de France,Saint-Denis,France,1998-07-03,France win 4-3 pens,0,0,True,False,False,False,True,False
1998,Semi-final,France,2,1,Croatia,Stade de France,Saint-Denis,France,1998-07-08,,3,1,True,False,False,False,False,False
1998,Semi-final,Brazil,1,1,Netherlands,Stade Vélodrome,Marseille,France,1998-07-07,Brazil win 4-2 pens,2,0,True,False,False,False,True,False
1998,3rd Place,Croatia,2,1,Netherlands,Parc des Princes,Paris,France,1998-07-11,,3,1,True,False,False,False,False,False
1998,Final,France,3,0,Brazil,Stade de France,Saint-Denis,France,1998-07-12,Ronaldo fit? France dominate,3,3,True,False,False,False,False,False
2002,Group Stage,Senegal,1,0,France,Seoul World Cup Stadium,Seoul,South Korea,2002-05-31,Defending champions out in groups,1,1,False,True,False,False,False,False
2002,Group Stage,South Korea,2,0,Portugal,Suwon World Cup Stadium,Suwon,South Korea,2002-06-14,,2,2,False,True,False,False,False,False
2002,Round of 16,South Korea,2,1,Italy,Daejeon World Cup Stadium,Daejeon,South Korea,2002-06-18,AET - Ahn golden goal,3,1,True,False,False,True,False,False
2002,Quarter-final,South Korea,0,0,Spain,Gwangju World Cup Stadium,Gwangju,South Korea,2002-06-22,South Korea win 5-3 pens,0,0,True,False,False,False,True,False
2002,Quarter-final,Brazil,2,1,England,Shizuoka Stadium,Shizuoka,Japan,2002-06-21,Ronaldinho free kick,3,1,True,False,False,False,False,False
2002,Semi-final,Brazil,1,0,Turkey,Saitama Stadium,Saitama,Japan,2002-06-26,,1,1,True,False,False,False,False,False
2002,Semi-final,Germany,1,0,South Korea,Seoul World Cup Stadium,Seoul,South Korea,2002-06-25,,1,1,True,False,False,False,False,False
2002,3rd Place,Turkey,3,2,South Korea,Daegu World Cup Stadium,Daegu,South Korea,2002-06-29,,5,1,True,False,False,False,False,False
2002,Final,Brazil,2,0,Germany,Yokohama International,Yokohama,Japan,2002-06-30,Ronaldo 2 goals,2,2,True,False,False,False,False,False
2006,Group Stage,Germany,4,2,Costa Rica,Allianz Arena,Munich,Germany,2006-06-09,Opening match,6,2,False,True,False,False,False,False
2006,Group Stage,Australia,3,1,Japan,Fritz Walter Stadion,Kaiserslautern,Germany,2006-06-12,,4,2,False,True,False,False,False,False
2006,Round of 16,Italy,1,0,Australia,Fritz Walter Stadion,Kaiserslautern,Germany,2006-06-26,AET Totti pen,1,1,True,False,False,True,False,False
2006,Round of 16,Portugal,1,0,Netherlands,Allianz Arena,Nuremberg,Germany,2006-06-25,Battle of Nuremberg - 4 red cards,1,1,True,False,False,False,False,False
2006,Quarter-final,Italy,3,0,Ukraine,Olympiastadion,Hamburg,Germany,2006-06-30,Toni 2 goals,3,3,True,False,False,False,False,False
2006,Quarter-final,Germany,1,1,Argentina,Olympiastadion,Berlin,Germany,2006-06-30,Germany win 4-2 pens,2,0,True,False,False,False,True,False
2006,Semi-final,Italy,2,0,Germany,Signal Iduna Park,Dortmund,Germany,2006-07-04,Grosso + Del Piero AET injury time,2,2,True,False,False,True,False,False
2006,Semi-final,Portugal,0,1,France,Allianz Arena,Munich,Germany,2006-07-05,Zidane pen,1,1,True,False,False,False,False,False
2006,3rd Place,Germany,3,1,Portugal,Gottlieb-Daimler-Stadion,Stuttgart,Germany,2006-07-08,,4,2,True,False,False,False,False,False
2006,Final,Italy,1,1,France,Olympiastadion,Berlin,Germany,2006-07-09,Zidane headbutt - Italy win 5-3 pens,2,0,True,False,False,False,True,False
2010,Group Stage,South Africa,1,1,Mexico,Soccer City,Johannesburg,South Africa,2010-06-11,First WC in Africa,2,0,False,True,False,False,False,True
2010,Group Stage,England,1,1,USA,Royal Bafokeng,Rustenburg,South Africa,2010-06-12,Green howler,2,0,False,True,False,False,False,False
2010,Group Stage,Germany,4,0,Australia,Moses Mabhida,Durban,South Africa,2010-06-13,,4,4,False,True,False,False,False,False
2010,Round of 16,USA,1,2,Ghana,Royal Bafokeng,Rustenburg,South Africa,2010-06-26,AET,3,1,True,False,False,True,False,False
2010,Round of 16,England,1,4,Germany,Free State Stadium,Bloemfontein,South Africa,2010-06-27,Lampard ghost goal,5,3,True,False,False,False,False,False
2010,Quarter-final,Argentina,0,4,Germany,Cape Town Stadium,Cape Town,South Africa,2010-07-03,,4,4,True,False,False,False,False,False
2010,Quarter-final,Netherlands,2,1,Brazil,Nelson Mandela Bay,Port Elizabeth,South Africa,2010-07-02,Robben goal,3,1,True,False,False,False,False,False
2010,Semi-final,Netherlands,3,2,Uruguay,Cape Town Stadium,Cape Town,South Africa,2010-07-06,,5,1,True,False,False,False,False,False
2010,Semi-final,Spain,1,0,Germany,Moses Mabhida,Durban,South Africa,2010-07-07,Puyol header,1,1,True,False,False,False,False,False
2010,3rd Place,Uruguay,2,3,Germany,Nelson Mandela Bay,Port Elizabeth,South Africa,2010-07-10,Forlan Golden Ball,5,1,True,False,False,False,False,False
2010,Final,Spain,1,0,Netherlands,Soccer City,Johannesburg,South Africa,2010-07-11,AET - Iniesta,1,1,True,False,False,True,False,False
2014,Group Stage,Brazil,3,1,Croatia,Arena de São Paulo,São Paulo,Brazil,2014-06-12,Opening - OG + Neymar 2,4,2,False,True,False,False,False,False
2014,Group Stage,Spain,1,5,Netherlands,Arena Fonte Nova,Salvador,Brazil,2014-06-13,Defending champs thrashed,6,4,False,True,False,False,False,False
2014,Group Stage,Uruguay,2,1,England,Arena Corinthians,São Paulo,Brazil,2014-06-19,Suárez 2,3,1,False,True,False,False,False,False
2014,Round of 16,Colombia,2,0,Uruguay,Maracanã,Rio de Janeiro,Brazil,2014-06-28,Suárez bites Chiellini,2,2,True,False,False,False,False,False
2014,Round of 16,Germany,2,1,Algeria,Estadio Beira-Rio,Porto Alegre,Brazil,2014-06-30,AET,3,1,True,False,False,True,False,False
2014,Quarter-final,Argentina,0,0,Belgium,Estadio Nacional,Brasília,Brazil,2014-07-05,Higuaín - Argentina win 1-0,0,0,True,False,False,False,False,False
2014,Quarter-final,Germany,1,0,France,Maracanã,Rio de Janeiro,Brazil,2014-07-04,Hummels header,1,1,True,False,False,False,False,False
2014,Semi-final,Brazil,1,7,Germany,Estadio Mineirão,Belo Horizonte,Brazil,2014-07-08,Mineirazo - biggest WC shock,8,6,True,False,True,False,False,True
2014,Semi-final,Argentina,0,0,Netherlands,Arena Corinthians,São Paulo,Brazil,2014-07-09,Argentina win 4-2 pens,0,0,True,False,False,False,True,False
2014,3rd Place,Brazil,0,3,Netherlands,Estadio Nacional,Brasília,Brazil,2014-07-12,,3,3,True,False,False,False,False,False
2014,Final,Germany,1,0,Argentina,Maracanã,Rio de Janeiro,Brazil,2014-07-13,AET - Götze 113th min,1,1,True,False,False,True,False,False
2018,Group Stage,Russia,5,0,Saudi Arabia,Luzhniki,Moscow,Russia,2018-06-14,Opening match,5,5,False,True,False,False,False,False
2018,Group Stage,Germany,0,1,Mexico,Luzhniki,Moscow,Russia,2018-06-17,Defending champs shocked,1,1,False,True,True,False,False,False
2018,Group Stage,Spain,3,3,Portugal,Fisht Olympic,Sochi,Russia,2018-06-15,Ronaldo hat-trick,6,0,False,True,False,False,False,False
2018,Round of 16,Argentina,1,3,France,Kazan Arena,Kazan,Russia,2018-06-30,Mbappé double - Pavard screamer,4,2,True,False,False,False,False,False
2018,Round of 16,Spain,1,1,Russia,Luzhniki,Moscow,Russia,2018-07-01,Russia win 4-3 pens,2,0,True,False,False,False,True,False
2018,Round of 16,Brazil,2,0,Mexico,Samara Arena,Samara,Russia,2018-07-02,Neymar + Firmino,2,2,True,False,False,False,False,False
2018,Quarter-final,Russia,2,2,Croatia,Fisht Olympic,Sochi,Russia,2018-07-07,Croatia win 4-3 pens,4,0,True,False,False,False,True,False
2018,Quarter-final,Belgium,2,1,Brazil,Kazan Arena,Kazan,Russia,2018-07-06,De Bruyne assist + Chadli goal,3,1,True,False,False,False,False,False
2018,Semi-final,France,1,0,Belgium,Saint Petersburg,St Petersburg,Russia,2018-07-10,Umtiti header,1,1,True,False,False,False,False,False
2018,Semi-final,Croatia,2,1,England,Luzhniki,Moscow,Russia,2018-07-11,AET - Mandzukic,3,1,True,False,False,True,False,False
2018,3rd Place,Belgium,2,0,England,Saint Petersburg,St Petersburg,Russia,2018-07-14,,2,2,True,False,False,False,False,False
2018,Final,France,4,2,Croatia,Luzhniki,Moscow,Russia,2018-07-15,Mbappé scores - youngest since Pelé,6,2,True,False,False,False,False,False
2022,Group Stage,Qatar,0,2,Ecuador,Al Bayt Stadium,Al Khor,Qatar,2022-11-20,Opening match - Qatar humbled at home,2,2,False,True,False,False,False,False
2022,Group Stage,Saudi Arabia,2,1,Argentina,Lusail Stadium,Lusail,Qatar,2022-11-22,Biggest WC upset 2022,3,1,False,True,True,False,False,True
2022,Group Stage,Germany,1,2,Japan,Khalifa International,Al Rayyan,Qatar,2022-11-23,,3,1,False,True,False,False,False,False
2022,Group Stage,Spain,1,2,Japan,Khalifa International,Al Rayyan,Qatar,2022-12-01,,3,1,False,True,False,False,False,False
2022,Group Stage,Germany,4,2,Costa Rica,Al Bayt Stadium,Al Khor,Qatar,2022-12-01,Germany out despite winning,6,2,False,True,False,False,False,False
2022,Round of 16,Morocco,0,0,Spain,Education City Stadium,Al Rayyan,Qatar,2022-12-06,Morocco win 3-0 pens,0,0,True,False,False,False,True,False
2022,Round of 16,France,3,1,Poland,Al Thumama Stadium,Doha,Qatar,2022-12-04,Mbappé double,4,2,True,False,False,False,False,False
2022,Round of 16,Netherlands,3,1,USA,Khalifa International,Al Rayyan,Qatar,2022-12-03,,4,2,True,False,False,False,False,False
2022,Quarter-final,Morocco,1,0,Portugal,Al Thumama Stadium,Doha,Qatar,2022-12-10,En-Nesyri - historic,1,1,True,False,False,False,False,False
2022,Quarter-final,France,2,1,England,Al Bayt Stadium,Al Khor,Qatar,2022-12-10,Kane pen miss,3,1,True,False,False,False,False,False
2022,Semi-final,Argentina,3,0,Croatia,Lusail Stadium,Lusail,Qatar,2022-12-13,Messi pen + Álvarez 2,3,3,True,False,False,False,False,False
2022,Semi-final,France,2,0,Morocco,Al Bayt Stadium,Al Khor,Qatar,2022-12-14,,2,2,True,False,False,False,False,False
2022,3rd Place,Croatia,2,1,Morocco,Khalifa International,Al Rayyan,Qatar,2022-12-17,,3,1,True,False,False,False,False,False
2022,Final,Argentina,3,3,France,Lusail Stadium,Lusail,Qatar,2022-12-18,AET - Argentina win 4-2 pens - GOAT final,6,0,True,False,False,True,True,False
